Start Time,RLAlgo,Path,Mode,Distance Mode,Use Speed,Spoof,Check Path,Go Straight,Load,Notes
2023-05-12_17-44-40,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-12_17-51-00,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-12_17-55-00,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-12_18-13-25,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_11-27-44,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_11-50-40,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_11-55-49,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_12-02-20,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_12-04-15,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_12-07-40,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_12-09-51,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_12-50-40,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_12-54-30,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_12-56-04,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_13-01-11,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_13-04-06,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_13-06-27,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_14-20-53,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_14-22-49,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_14-25-55,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_14-32-55,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_14-36-20,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_14-37-52,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_14-45-08,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_14-47-36,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_14-53-36,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_14-57-50,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_15-03-28,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_15-13-36,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_15-15-57,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_15-17-53,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_15-35-11,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_16-00-37,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_16-24-58,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_16-52-26,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_16-54-28,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_10-45-10,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_10-52-50,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_11-41-55,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_11-51-13,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_11-53-37,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_12-16-28,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_12-28-08,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_14-01-32,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_14-05-19,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_14-13-17,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_14-16-42,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_14-22-12,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_14-26-23,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_14-36-12,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_14-56-36,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_10-21-37,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_10-26-36,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_10-36-48,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_10-47-47,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_11-15-54,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_11-18-11,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_11-32-16,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_11-37-12,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_11-47-14,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_11-53-12,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_11-59-35,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_12-03-22,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_12-05-32,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_12-07-30,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_12-10-15,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_12-15-01,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_12-16-40,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_12-18-01,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_12-22-27,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_12-27-26,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_12-30-16,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_12-32-56,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_12-42-39,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_14-16-17,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_14-30-34,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_14-33-53,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_14-43-08,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_14-45-14,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_14-52-05,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_14-58-45,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_15-02-20,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_15-25-07,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_15-31-41,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_15-34-41,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_15-38-37,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_15-40-38,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_15-55-48,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_15-59-54,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_16-13-50,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_16-17-37,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_16-20-17,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_16-22-24,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_16-24-48,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_16-29-25,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_16-40-03,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_16-48-24,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_16-51-14,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_16-56-23,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_16-59-42,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_17-06-59,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_17-17-02,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_17-19-27,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_10-37-36,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_10-41-23,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_10-43-38,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_10-49-46,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_10-53-43,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_10-57-43,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_10-59-47,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_11-03-14,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_11-06-15,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_11-11-23,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_11-18-07,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_11-22-55,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_11-31-26,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_12-04-34,ppo,nh_0,train,dist2path,False,False,False,False,from scratch,
2023-05-18_12-10-22,ppo,nh_0,train,dist2path,False,False,False,False,from scratch,
2023-05-18_12-16-11,ppo,nh_0,train,dist2path,False,False,False,False,from scratch,
2023-05-18_12-24-31,ppo,nh_0,train,dist2path,False,False,False,False,from scratch,
2023-05-18_12-27-46,ppo,nh_0,train,dist2path,False,False,False,False,from scratch,
2023-05-18_12-35-09,ppo,nh_0,train,dist2path,False,False,False,False,from scratch,
2023-05-18_12-42-47,ppo,nh_0,train,dist2path,False,False,False,False,from scratch,
2023-05-18_12-51-59,ppo,nh_0,train,dist2path,False,False,False,False,from scratch,
2023-05-18_12-53-11,ppo,nh_0,train,dist2path,False,False,False,False,from scratch,
2023-05-18_12-59-03,ppo,nh_0,train,dist2path,False,False,False,False,from scratch,
2023-05-18_13-04-47,ppo,nh_0,train,dist2path,False,False,False,False,from scratch,
2023-05-18_13-35-56,ppo,nh_0,train,dist2path,False,False,False,False,from scratch,
2023-05-18_13-43-26,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_13-48-00,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_13-56-57,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_14-20-36,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_14-22-58,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_14-27-10,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_14-35-24,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_14-48-03,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_14-55-28,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_14-58-45,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_15-01-54,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_15-08-58,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_15-11-50,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_15-17-49,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_15-22-33,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_15-27-57,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_15-31-17,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_15-37-37,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_15-40-16,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_15-46-17,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_15-53-43,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_15-56-08,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_16-04-42,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_16-10-27,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_16-29-43,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_16-33-14,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_16-51-09,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_17-00-14,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-18_18-47-01,ppo,nh_0,train,dist2path,False,False,False,False,from scratch,
2023-05-18_18-59-16,ppo,nh_0,train,dist2path,False,False,False,False,from scratch,
2023-05-18_19-04-11,ppo,nh_0,train,dist2path,False,False,False,False,from scratch,
2023-05-18_19-10-29,ppo,nh_0,train,dist2path,False,False,False,False,from scratch,
2023-05-18_19-15-42,ppo,nh_0,train,dist2path,False,False,False,False,from scratch,
2023-05-18_19-19-05,ppo,nh_0,train,dist2path,False,False,False,False,from scratch,
2023-05-18_19-36-43,ppo,nh_0,train,dist2path,False,False,False,False,from scratch,
2023-05-18_19-42-38,ppo,nh_0,train,dist2path,False,False,False,False,from scratch,
2023-05-18_20-07-07,ppo,nh_0,train,dist2path,False,False,False,False,from scratch,
2023-05-18_20-13-40,ppo,nh_0,train,dist2path,False,False,False,False,from scratch,
2023-05-18_20-28-41,ppo,nh_0,train,dist2path,False,False,False,False,from scratch,
2023-05-19_14-45-32,ppo,nh_0,train,dist2path,False,False,False,False,from scratch,
2023-05-19_14-47-18,ppo,nh_0,train,dist2path,False,False,False,False,from scratch,
2023-05-23_10-28-56,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-23_10-45-13,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-23_10-51-25,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
